,Response,Income,Recency,SpendingWine,SpendingGreens,SpendingMeat,SpendingFish,SpendingSweets,SpendingGold,ID,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,haveChildren,AcceptedCmp1_0.0,AcceptedCmp1_1.0,AcceptedCmp2_0.0,AcceptedCmp2_1.0,AcceptedCmp3_0.0,AcceptedCmp3_1.0,AcceptedCmp4_0.0,AcceptedCmp4_1.0,AcceptedCmp5_0.0,AcceptedCmp5_1.0,AcceptedCampaigns_0.0,AcceptedCampaigns_1.0,Education_0.0,Education_1.0,Marital_Status_0.0,Marital_Status_1.0
0,1.0,6.0,5.0,8.0,7.0,9.0,7.0,7.0,8.0,5.0,0.2,0.2962962962962963,0.3571428571428571,0.3076923076923077,0.35000000000000003,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
1,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.13333333333333333,0.037037037037037035,0.03571428571428571,0.15384615384615385,0.25,0.6666666666666666,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
2,0.0,8.0,2.0,7.0,6.0,6.0,6.0,4.0,6.0,4.0,0.06666666666666667,0.2962962962962963,0.07142857142857142,0.7692307692307693,0.2,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
3,0.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,5.0,0.13333333333333333,0.07407407407407407,0.0,0.3076923076923077,0.30000000000000004,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
4,0.0,6.0,8.0,5.0,6.0,6.0,5.0,5.0,4.0,5.0,0.3333333333333333,0.18518518518518517,0.10714285714285714,0.46153846153846156,0.25,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
5,0.0,6.0,1.0,7.0,6.0,5.0,0.0,6.0,3.0,6.0,0.13333333333333333,0.2222222222222222,0.14285714285714285,0.7692307692307693,0.30000000000000004,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
6,0.0,5.0,3.0,5.0,6.0,7.0,5.0,6.0,5.0,1.0,0.26666666666666666,0.25925925925925924,0.10714285714285714,0.5384615384615385,0.30000000000000004,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
7,0.0,2.0,2.0,4.0,3.0,4.0,1.0,0.0,5.0,5.0,0.13333333333333333,0.14814814814814814,0.0,0.3076923076923077,0.4,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
8,1.0,2.0,1.0,2.0,0.0,3.0,1.0,1.0,1.0,4.0,0.06666666666666667,0.1111111111111111,0.0,0.15384615384615385,0.45,0.3333333333333333,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
9,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,3.0,5.0,0.06666666666666667,0.037037037037037035,0.0,0.0,1.0,0.3333333333333333,True,False,True,False,False,True,True,False,True,False,False,True,True,False,True,False
10,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.06666666666666667,0.037037037037037035,0.0,0.15384615384615385,0.35000000000000003,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
11,0.0,0.0,5.0,1.0,4.0,2.0,3.0,0.0,4.0,0.0,0.06666666666666667,0.07407407407407407,0.0,0.23076923076923078,0.4,0.0,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False
12,0.0,6.0,7.0,5.0,6.0,8.0,7.0,7.0,5.0,2.0,0.06666666666666667,0.1111111111111111,0.14285714285714285,0.6153846153846154,0.1,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
13,0.0,6.0,4.0,5.0,1.0,4.0,1.0,2.0,3.0,7.0,0.2,0.2222222222222222,0.03571428571428571,0.38461538461538464,0.30000000000000004,0.6666666666666666,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
14,0.0,0.0,3.0,0.0,4.0,3.0,2.0,0.0,2.0,2.0,0.06666666666666667,0.037037037037037035,0.0,0.23076923076923078,0.4,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
15,1.0,9.0,2.0,9.0,4.0,6.0,5.0,6.0,7.0,2.0,0.06666666666666667,0.25925925925925924,0.21428571428571427,0.9230769230769231,0.15000000000000002,0.0,False,True,True,False,True,False,True,False,False,True,False,True,True,False,False,True
16,0.0,3.0,5.0,3.0,2.0,3.0,0.0,4.0,1.0,8.0,0.2,0.1111111111111111,0.0,0.23076923076923078,0.4,0.6666666666666666,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
17,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.155,0.15128968253968253,0.09507334183673469,0.4453983516483517,0.26582589285714286,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
18,0.0,3.0,1.0,4.0,2.0,4.0,7.0,3.0,5.0,4.0,0.13333333333333333,0.14814814814814814,0.03571428571428571,0.46153846153846156,0.35000000000000003,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
